iter	Passed	Remaining
0	98	2945015
1	102	1542621
2	112	1126677
3	121	911823
4	135	811771
5	152	764473
6	164	706420
7	176	662744
8	188	626940
9	195	584957
10	214	583517
11	225	563872
12	236	546391
13	254	545652
14	271	542906
15	284	533991
16	289	510552
17	309	516283
18	324	511526
19	342	514105
20	355	507114
21	368	502601
22	382	498179
23	394	493016
24	406	487153
25	428	494123
26	437	485869
27	447	478649
28	460	475789
29	474	474213
30	486	469973
31	502	470926
32	517	470313
33	525	463247
34	542	464276
35	557	463624
36	571	462643
37	583	460455
38	597	458724
39	609	456475
40	620	453739
41	632	450952
42	640	446382
43	650	442701
44	666	443564
45	679	442403
46	697	444534
47	710	443302
48	719	439668
49	732	439062
50	747	438899
51	757	436177
52	766	433059
53	775	430075
54	786	428424
55	800	427969
56	815	428366
57	832	429845
58	844	428378
59	856	427450
60	867	425606
61	884	426971
62	897	426459
63	912	426609
64	934	430264
65	945	428911
66	957	427731
67	972	427976
68	993	430969
69	1010	431894
70	1022	431208
71	1057	439360
72	1071	439150
73	1101	445423
74	1138	454184
75	1172	461673
76	1211	470639
77	1231	472531
78	1249	473130
79	1258	470622
80	1278	472332
81	1314	479583
82	1326	478053
83	1336	476061
84	1351	475571
85	1368	476166
86	1393	479242
87	1416	481578
88	1438	483590
89	1470	488832
90	1484	487831
91	1502	488462
92	1513	486633
93	1531	487113
94	1548	487494
95	1563	487145
96	1575	485578
97	1590	485310
98	1605	484839
99	1624	485817
100	1654	489729
101	1671	489816
102	1690	490663
103	1705	490291
104	1723	490592
105	1739	490680
106	1754	490172
107	1768	489480
108	1781	488537
109	1788	485937
110	1803	485634
111	1817	484907
112	1834	485209
113	1845	483829
114	1849	480545
115	1861	479511
116	1866	476785
117	1876	475270
118	1897	476349
119	1909	475408
120	1921	474600
121	1936	474202
122	1951	474138
123	1965	473566
124	1976	472363
125	1989	471631
126	1997	469956
127	2010	469156
128	2019	467556
129	2036	467884
130	2052	467871
131	2064	467119
132	2076	466362
133	2089	465635
134	2104	465526
135	2115	464571
136	2129	464242
137	2142	463637
138	2150	461926
139	2161	461093
140	2175	460639
141	2189	460302
142	2200	459377
143	2209	458145
144	2223	457772
145	2233	456625
146	2244	455880
147	2255	454995
148	2271	455016
149	2285	454763
150	2298	454374
151	2307	453138
152	2316	451914
153	2324	450595
154	2335	449623
155	2348	449199
156	2361	448927
157	2371	447899
158	2383	447411
159	2402	448010
160	2417	448114
161	2428	447381
162	2449	448422
163	2462	447964
164	2473	447303
165	2484	446444
166	2498	446341
167	2509	445575
168	2519	444781
169	2535	444974
170	2548	444495
171	2561	444274
172	2572	443578
173	2583	442873
174	2593	441966
175	2606	441713
176	2616	440852
177	2626	440017
178	2636	439264
179	2648	438845
180	2660	438325
181	2675	438328
182	2687	437843
183	2698	437195
184	2712	437097
185	2724	436683
186	2736	436303
187	2751	436298
188	2755	434622
189	2769	434517
190	2778	433623
191	2789	433107
192	2803	432946
193	2813	432252
194	2828	432378
195	2844	432472
196	2854	431796
197	2864	431179
198	2875	430620
199	2886	430097
200	2901	430154
201	2913	429823
202	2924	429316
203	2936	428959
204	2947	428431
205	2960	428138
206	2972	427757
207	2982	427245
208	2996	427110
209	3013	427551
210	3027	427395
211	3040	427193
212	3043	425624
213	3052	424820
214	3065	424704
215	3077	424345
216	3089	424034
217	3100	423617
218	3110	423039
219	3129	423646
220	3140	423193
221	3153	422939
222	3164	422598
223	3176	422308
224	3192	422469
225	3202	421972
226	3220	422346
227	3232	422079
228	3246	422029
229	3260	422023
230	3276	422221
231	3289	422098
232	3301	421847
233	3315	421796
234	3328	421613
235	3340	421354
236	3353	421139
237	3365	420851
238	3378	420667
239	3399	421535
240	3412	421439
241	3429	421735
